,Group,Species,Subgroup,Taxonomic Domain,Expressed in Species,Secondary Bibliogrpahies,rcsb_entry_info_experimental_method,rcsb_entry_info_polymer_composition,rcsb_entry_info_selected_polymer_entity_types,symmetry_space_group_name_hm,diffrn_radiation_pdbx_scattering_type,diffrn_radiation_pdbx_monochromatic_or_laue_ml,exptl_method,diffrn_detector_detector,diffrn_source_source
50,MONOTOPIC MEMBRANE PROTEINS,Homo sapiens,Oxidoreductases (Monotopic),Eukaryota,E. coli,,X-ray,heteromeric protein,Protein (only),P 1 21 1,x-ray,M,X-RAY DIFFRACTION,PIXEL,SYNCHROTRON
51,MONOTOPIC MEMBRANE PROTEINS,Thermotoga maritima,Oxidoreductases (Monotopic),Bacteria,Pyrococcus furiosus,,EM,heteromeric protein,Protein (only),,,,ELECTRON MICROSCOPY,,
52,MONOTOPIC MEMBRANE PROTEINS,Escherichia coli,Dehydrogenases,Bacteria,,,X-ray,homomeric protein,Protein (only),I 2 2 2,,,X-RAY DIFFRACTION,,
53,MONOTOPIC MEMBRANE PROTEINS,Escherichia coli,Dehydrogenases,Bacteria,,,X-ray,homomeric protein,Protein (only),I 2 2 2,,,X-RAY DIFFRACTION,,
54,TRANSMEMBRANE PROTEINS: ALPHA-HELICAL,Escherichia coli,Oxidoreductases,Bacteria,,,X-ray,homomeric protein,Protein (only),I 2 2 2,,,X-RAY DIFFRACTION,,
55,TRANSMEMBRANE PROTEINS: ALPHA-HELICAL,Escherichia coli,Oxidoreductases,Bacteria,,,X-ray,homomeric protein,Protein (only),I 2 2 2,,,X-RAY DIFFRACTION,,
56,MONOTOPIC MEMBRANE PROTEINS,Geobacter sulfurreducens,Dehydrogenases,Bacteria,E. coli,,X-ray,homomeric protein,Protein (only),P 21 21 21,x-ray,M,X-RAY DIFFRACTION,PIXEL,SYNCHROTRON
57,MONOTOPIC MEMBRANE PROTEINS,Saccharomyces cerevisiae,Dehydrogenases,Eukaryota,,,X-ray,homomeric protein,Protein (only),P 21 21 21,x-ray,M,X-RAY DIFFRACTION,CCD,SYNCHROTRON
58,MONOTOPIC MEMBRANE PROTEINS,Saccharomyces cerevisiae,Dehydrogenases,Eukaryota,E. coli,,X-ray,homomeric protein,Protein (only),C 2 2 21,x-ray,M,X-RAY DIFFRACTION,CCD,SYNCHROTRON
59,MONOTOPIC MEMBRANE PROTEINS,Caldalkalibacillus thermarum,Dehydrogenases,Bacteria,E. coli,,X-ray,homomeric protein,Protein (only),P 1 21 1,x-ray,M,X-RAY DIFFRACTION,CCD,SYNCHROTRON
60,MONOTOPIC MEMBRANE PROTEINS,Pseudomonas putida,Dehydrogenases,Bacteria,E. coli,,X-ray,homomeric protein,Protein (only),I 2 2 2,x-ray,M,X-RAY DIFFRACTION,PIXEL,SYNCHROTRON
61,MONOTOPIC MEMBRANE PROTEINS,Escherichia coli,Decarboxylases (Monotopic),Bacteria,,,X-ray,heteromeric protein,Protein (only),P 21 21 2,x-ray,M,X-RAY DIFFRACTION,PIXEL,SYNCHROTRON
62,MONOTOPIC MEMBRANE PROTEINS,Escherichia coli,Decarboxylases (Monotopic),Bacteria,,,X-ray,heteromeric protein,Protein (only),P 21 21 21,x-ray,M,X-RAY DIFFRACTION,CCD,SYNCHROTRON
63,MONOTOPIC MEMBRANE PROTEINS,Staphylococcus aureus,Glycosyltransferases,Bacteria,,,X-ray,homomeric protein,Protein (only),P 21 21 2,x-ray,M,X-RAY DIFFRACTION,CCD,SYNCHROTRON
64,MONOTOPIC MEMBRANE PROTEINS,Aquifex aeolicus,Glycosyltransferases,Bacteria,E. coli,,X-ray,homomeric protein,Protein (only),I 2 2 2,x-ray,M,X-RAY DIFFRACTION,CCD,SYNCHROTRON
65,MONOTOPIC MEMBRANE PROTEINS,Escherichia coli,Glycosyltransferases,Bacteria,,,X-ray,homomeric protein,Protein (only),P 21 21 2,x-ray,M,X-RAY DIFFRACTION,CCD,SYNCHROTRON
66,MONOTOPIC MEMBRANE PROTEINS,Escherichia coli,Glycosyltransferases,Bacteria,,,EM,homomeric protein,Protein (only),,,,ELECTRON MICROSCOPY,,
67,MONOTOPIC MEMBRANE PROTEINS,Aquifex aeolicus,Glycosyltransferases,Bacteria,E. coli,,X-ray,homomeric protein,Protein (only),P 1 21 1,x-ray,M,X-RAY DIFFRACTION,CCD,SYNCHROTRON
68,MONOTOPIC MEMBRANE PROTEINS,Staphylococcus aureus ,Glycosyltransferases,Bacteria,E. coli,,X-ray,homomeric protein,Protein (only),P 21 21 21,x-ray,M,X-RAY DIFFRACTION,CCD,SYNCHROTRON
69,MONOTOPIC MEMBRANE PROTEINS,Campylobacter jejuni,Glycosyltransferases,Bacteria,E. coli,,X-ray,homomeric protein,Protein (only),P 1 21 1,x-ray,M,X-RAY DIFFRACTION,PIXEL,SYNCHROTRON
70,MONOTOPIC MEMBRANE PROTEINS,Chaetomium thermophilum,GPI-Anchored Cell-Wall Proteins (GPI-CWPs),Eukaryota,E. coli,,X-ray,homomeric protein,Protein (only),C 1 2 1,x-ray,M,X-RAY DIFFRACTION,PIXEL,SYNCHROTRON
71,MONOTOPIC MEMBRANE PROTEINS,Escherichia coli,Peptidases,Bacteria,,,X-ray,homomeric protein,Protein (only),P 21 21 2,x-ray,M,X-RAY DIFFRACTION,CCD,SYNCHROTRON
72,MONOTOPIC MEMBRANE PROTEINS,Escherichia coli,Peptidases,Bacteria,,,X-ray,homomeric protein,Protein (only),P 41 21 2,x-ray,M,X-RAY DIFFRACTION,IMAGE PLATE,SYNCHROTRON
73,MONOTOPIC MEMBRANE PROTEINS,Escherichia coli,Peptidases,Bacteria,,,X-ray,heteromeric protein,Protein (only),P 43 21 2,x-ray,M,X-RAY DIFFRACTION,CCD,SYNCHROTRON
74,MONOTOPIC MEMBRANE PROTEINS,Staphylococcus aureus,Peptidases,Bacteria,E. coli,,X-ray,protein/oligosaccharide,Protein/Oligosaccharide,P 1 21 1,x-ray,M,X-RAY DIFFRACTION,CCD,SYNCHROTRON
75,MONOTOPIC MEMBRANE PROTEINS,Escherichia coli,Peptidases,Bacteria,,,X-ray,homomeric protein,Protein (only),P 1 21 1,x-ray,M,X-RAY DIFFRACTION,CCD,SYNCHROTRON
76,MONOTOPIC MEMBRANE PROTEINS,Escherichia coli,Peptidases,Bacteria,,,X-ray,homomeric protein,Protein (only),P 1 21 1,x-ray,M,X-RAY DIFFRACTION,CCD,SYNCHROTRON
77,TRANSMEMBRANE PROTEINS: ALPHA-HELICAL,Escherichia coli,Intramembrane Proteases,Bacteria,,,X-ray,homomeric protein,Protein (only),P 1 21 1,x-ray,M,X-RAY DIFFRACTION,CCD,SYNCHROTRON
78,TRANSMEMBRANE PROTEINS: ALPHA-HELICAL,Escherichia coli,Intramembrane Proteases,Bacteria,,,X-ray,homomeric protein,Protein (only),P 1 21 1,x-ray,M,X-RAY DIFFRACTION,CCD,SYNCHROTRON
79,MONOTOPIC MEMBRANE PROTEINS,Bacillus subtilis ,Peptidases,Bacteria,E. coli,,X-ray,homomeric protein,Protein (only),P 21 21 21,x-ray,M,X-RAY DIFFRACTION,CCD,SYNCHROTRON
80,MONOTOPIC MEMBRANE PROTEINS,Bacillus subtilis ,Peptidases,Bacteria,E. coli,,X-ray,homomeric protein,Protein (only),P 21 21 21,x-ray,M,X-RAY DIFFRACTION,CCD,SYNCHROTRON
81,TRANSMEMBRANE PROTEINS: ALPHA-HELICAL,Bacillus subtilis ,Intramembrane Proteases,Bacteria,E. coli,,X-ray,homomeric protein,Protein (only),P 21 21 21,x-ray,M,X-RAY DIFFRACTION,CCD,SYNCHROTRON
82,TRANSMEMBRANE PROTEINS: ALPHA-HELICAL,Bacillus subtilis ,Intramembrane Proteases,Bacteria,E. coli,,X-ray,homomeric protein,Protein (only),P 21 21 21,x-ray,M,X-RAY DIFFRACTION,CCD,SYNCHROTRON
83,MONOTOPIC MEMBRANE PROTEINS,Bacillus subtilis,Peptidases,Bacteria,E. coli,,X-ray,homomeric protein,Protein (only),P 21 21 21,x-ray,M,X-RAY DIFFRACTION,CCD,SYNCHROTRON
84,MONOTOPIC MEMBRANE PROTEINS,Bacillus subtilis,Peptidases,Bacteria,E. coli,,X-ray,homomeric protein,Protein (only),P 21 21 21,x-ray,M,X-RAY DIFFRACTION,CCD,SYNCHROTRON
85,TRANSMEMBRANE PROTEINS: ALPHA-HELICAL,Bacillus subtilis,Intramembrane Proteases,Bacteria,E. coli,,X-ray,homomeric protein,Protein (only),P 21 21 21,x-ray,M,X-RAY DIFFRACTION,CCD,SYNCHROTRON
86,TRANSMEMBRANE PROTEINS: ALPHA-HELICAL,Bacillus subtilis,Intramembrane Proteases,Bacteria,E. coli,,X-ray,homomeric protein,Protein (only),P 21 21 21,x-ray,M,X-RAY DIFFRACTION,CCD,SYNCHROTRON
87,MONOTOPIC MEMBRANE PROTEINS,Homo sapiens,Peptidases,Eukaryota,Trichoplusia ni,,X-ray,protein/oligosaccharide,Protein/Oligosaccharide,P 1,,,X-RAY DIFFRACTION,,
88,MONOTOPIC MEMBRANE PROTEINS,Saccharomyces cerevisiae,Cytochromes P450,Eukaryota,,,X-ray,homomeric protein,Protein (only),P 1 21 1,x-ray,M,X-RAY DIFFRACTION,CCD,SYNCHROTRON
89,MONOTOPIC MEMBRANE PROTEINS,Escherichia coli,"Dihydroorotate Dehydrogenases (DHODH, class 2)",Bacteria,,,X-ray,homomeric protein,Protein (only),P 21 21 21,x-ray,M,X-RAY DIFFRACTION,CCD,SYNCHROTRON
90,MONOTOPIC MEMBRANE PROTEINS,Escherichia coli,"Dihydroorotate Dehydrogenases (DHODH, class 2)",Bacteria,,,X-ray,homomeric protein,Protein (only),P 21 21 21,x-ray,M,X-RAY DIFFRACTION,IMAGE PLATE,ROTATING ANODE
91,MONOTOPIC MEMBRANE PROTEINS,Rattus rattus,"Dihydroorotate Dehydrogenases (DHODH, class 2)",Eukaryota,E. coli,,X-ray,homomeric protein,Protein (only),P 3,x-ray,M,X-RAY DIFFRACTION,CCD,SYNCHROTRON
92,MONOTOPIC MEMBRANE PROTEINS,Homo sapiens,"Dihydroorotate Dehydrogenases (DHODH, class 2)",Eukaryota,E. coli,,X-ray,homomeric protein,Protein (only),P 32 2 1,,,X-RAY DIFFRACTION,IMAGE PLATE,SYNCHROTRON
93,MONOTOPIC MEMBRANE PROTEINS,Plasmodium falciparum 3d7,"Dihydroorotate Dehydrogenases (DHODH, class 2)",Eukaryota,E. coli,,X-ray,homomeric protein,Protein (only),P 64,x-ray,M,X-RAY DIFFRACTION,CCD,SYNCHROTRON
94,MONOTOPIC MEMBRANE PROTEINS,Staphylococcus epidermidis,Polymerases,Bacteria,E. coli,,X-ray,homomeric protein,Protein (only),P 41 21 2,x-ray,M,X-RAY DIFFRACTION,CCD,SYNCHROTRON
95,MONOTOPIC MEMBRANE PROTEINS,Saccharomyces cerevisiae,ADP-Ribosylation Factors,Eukaryota,E. coli,,NMR,homomeric protein,Protein (only),,,,SOLUTION NMR,,
96,MONOTOPIC MEMBRANE PROTEINS,Saccharomyces cerevisiae,ADP-Ribosylation Factors,Eukaryota,E. coli,,NMR,homomeric protein,Protein (only),,,,SOLUTION NMR,,
97,MONOTOPIC MEMBRANE PROTEINS,Bos taurus,Isomerases,Eukaryota,,,X-ray,homomeric protein,Protein (only),P 65,x-ray,M,X-RAY DIFFRACTION,CCD,SYNCHROTRON
98,MONOTOPIC MEMBRANE PROTEINS,Bos taurus,Isomerases,Eukaryota,,,X-ray,homomeric protein,Protein (only),P 65,x-ray,M,X-RAY DIFFRACTION,PIXEL,SYNCHROTRON
99,MONOTOPIC MEMBRANE PROTEINS,Homo sapiens,Phosphoinositide Kinases,Eukaryota,E. coli,,X-ray,homomeric protein,Protein (only),P 21 21 2,x-ray,M,X-RAY DIFFRACTION,CCD,SYNCHROTRON
100,MONOTOPIC MEMBRANE PROTEINS,Homo sapiens,Phosphoinositide Kinases,Eukaryota,Spodoptera frugiperda,,X-ray,heteromeric protein,Protein (only),P 21 21 21,x-ray,M,X-RAY DIFFRACTION,PIXEL,SYNCHROTRON
101,MONOTOPIC MEMBRANE PROTEINS,Homo sapiens,Membrane-Shaping Proteins (monotopic),Eukaryota,E. coli,,EM,heteromeric protein,Protein (only),,,,ELECTRON MICROSCOPY,,
102,MONOTOPIC MEMBRANE PROTEINS,Homo sapiens,Membrane-Shaping Proteins (monotopic),Eukaryota,E. coli,,EM,homomeric protein,Protein (only),,,,ELECTRON MICROSCOPY,,
103,MONOTOPIC MEMBRANE PROTEINS,Homo sapiens,Membrane-Shaping Proteins (monotopic),Eukaryota,E. coli,,EM,heteromeric protein,Protein (only),,,,ELECTRON MICROSCOPY,,
104,MONOTOPIC MEMBRANE PROTEINS,Saccharomyces cerevisiae,Membrane-Shaping Proteins (monotopic),Eukaryota,E. coli,,X-ray,homomeric protein,Protein (only),P 1 21 1,x-ray,M,X-RAY DIFFRACTION,PIXEL,SYNCHROTRON
105,MONOTOPIC MEMBRANE PROTEINS,Drosophila melanogaster,Membrane-Shaping Proteins (monotopic),Eukaryota,E. coli,,X-ray,homomeric protein,Protein (only),P 43,x-ray,M,X-RAY DIFFRACTION,PIXEL,SYNCHROTRON
106,MONOTOPIC MEMBRANE PROTEINS,Chaetomium thermophilum,Membrane-Shaping Proteins (monotopic),Eukaryota,E. coli,,EM,heteromeric protein,Protein (only),,,,ELECTRON MICROSCOPY,,
107,MONOTOPIC MEMBRANE PROTEINS,Drosophila melanogaster,Membrane-Shaping Proteins (monotopic),Eukaryota,E. coli,,EM,homomeric protein,Protein (only),,,,ELECTRON MICROSCOPY,,
108,MONOTOPIC MEMBRANE PROTEINS,Saccharomyces cerevisiae,Membrane-Shaping Proteins (monotopic),Eukaryota,,,EM,homomeric protein,Protein (only),,,,ELECTRON MICROSCOPY,,
109,MONOTOPIC MEMBRANE PROTEINS,Chaetomium thermophilum,Membrane-Shaping Proteins (monotopic),Eukaryota,E. coli,,X-ray,homomeric protein,Protein (only),P 41 2 2,x-ray,M,X-RAY DIFFRACTION,PIXEL,SYNCHROTRON
110,MONOTOPIC MEMBRANE PROTEINS,Saccharomyces cerevisiae,Membrane-Shaping Proteins (monotopic),Eukaryota,E. coli,,EM,homomeric protein,Protein (only),,,,ELECTRON MICROSCOPY,,
111,MONOTOPIC MEMBRANE PROTEINS,Homo sapiens,Membrane-Shaping Proteins (monotopic),Eukaryota,E. coli,,X-ray,homomeric protein,Protein (only),P 41 21 2,x-ray,M,X-RAY DIFFRACTION,CCD,SYNCHROTRON
112,MONOTOPIC MEMBRANE PROTEINS,Homo sapiens,Membrane-Shaping Proteins (monotopic),Eukaryota,E. coli,,EM,homomeric protein,Protein (only),,,,ELECTRON MICROSCOPY,,
113,MONOTOPIC MEMBRANE PROTEINS,Mus musculus,Membrane-Shaping Proteins (monotopic),Eukaryota,E. coli,,EM,homomeric protein,Protein (only),,,,ELECTRON MICROSCOPY,,
114,MONOTOPIC MEMBRANE PROTEINS,Saccharomyces cerevisiae,Membrane-Shaping Proteins (monotopic),Eukaryota,Spodoptera frugiperda,,EM,heteromeric protein,Protein (only),,,,ELECTRON MICROSCOPY,,
115,MONOTOPIC MEMBRANE PROTEINS,Homo sapiens,Membrane-Shaping Proteins (monotopic),Eukaryota,E. coli,,EM,heteromeric protein,Protein (only),,,,ELECTRON MICROSCOPY,,
